,City ,State ,Cert ,Acquiring Institution ,Fund,"Bank Name, City, State",Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions),Bank Name,Country
88,Glasgow,MO,1056,Regional Missouri Bank,10449,"Glasgow Savings Bank, Glasgow, MO",13-Jul-12,$24.80 ,$24.20 ,Glasgow Savings Bank,US
89,Ailey,GA,19498,Ameris Bank,10448,"Montgomery Bank & Trust, Ailey, GA",6-Jul-12,$173.60 ,$164.40 ,Montgomery Bank & Trust,US
90,Lynchburg,TN,1690,Clayton Bank and Trust,10447,"The Farmers Bank of Lynchburg, Lynchburg, TN",15-Jun-12,$163.90 ,$156.40 ,The Farmers Bank of Lynchburg,US
91,Marietta,GA,35299,Fidelity Bank,10446,"Security Exchange Bank, Marietta, GA",15-Jun-12,$151.00 ,$147.90 ,Security Exchange Bank,US
92,Palatka,FL,27405,Harbor Community Bank,10445,"Putnam State Bank, Palatka, FL",15-Jun-12,$169.50 ,$160.00 ,Putnam State Bank,US
93,Whiteville,NC,34515,First Community Bank,10444,"Waccamaw Bank, Whiteville, NC",8-Jun-12,$533.10 ,$472.70 ,Waccamaw Bank,US
94,Charleston,SC,35372,Bank of North Carolina,10441,"Carolina Federal Savings Bank, Charleston, SC",8-Jun-12,$54.40 ,$53.10 ,Carolina Federal Savings Bank,US
95,Kingfisher,OK,416,F & M Bank,10443,"First Capital Bank, Kingfisher, OK",8-Jun-12,$46.10 ,$44.80 ,First Capital Bank,US
96,Palm Desert,CA,23632,Pacific Premier Bank,10437,"Palm Desert National Bank, Palm Desert, CA",27-Apr-12,$125.80 ,$122.80 ,Palm Desert National Bank,US
97,Pawleys Island,SC,32503,First Federal Bank,10438,"Plantation Federal Bank, Pawleys Island, SC",27-Apr-12,$486.40 ,$440.50 ,Plantation Federal Bank,US
98,Gaithersburg,MD,57766,Sonabank,10435,"HarVest Bank of Maryland, Gaithersburg, MD",27-Apr-12,$164.30 ,$145.50 ,HarVest Bank of Maryland,US
99,Cambridge,MD,26759,No Acquirer,10434,"Bank of the Eastern Shore, Cambridge, MD",27-Apr-12,$166.70 ,$154.50 ,Bank of the Eastern Shore,US
100,Dearborn,MI,33883,The Huntington National Bank,10432,"Fidelity Bank, Dearborn, MI",30-Mar-12,$818.20 ,$747.60 ,Fidelity Bank,US
101,Wilmette,IL,35419,International Bank of Chicago,10431,"Premier Bank, Wilmette, IL",23-Mar-12,$268.70 ,$199.00 ,Premier Bank,US
102,Rock Spring,GA,58068,"Stearns Bank, N.A.",10430,"Covenant Bank & Trust, Rock Spring, GA",23-Mar-12,$95.70 ,$90.60 ,Covenant Bank & Trust,US
103,Chicago,IL,57597,No Acquirer,10429,"New City Bank, Chicago, IL",9-Mar-12,$71.20 ,$72.40 ,New City Bank,US
